,Country,Imports of Goods and Services (% GDP),Year
1961,Australia,15.02165489,1961
1962,Australia,12.62808242,1962
1963,Australia,13.83045199,1963
1964,Australia,13.76125171,1964
1965,Australia,15.26404422,1965
1966,Australia,15.1264991,1966
1967,Australia,13.88991231,1967
1968,Australia,14.482120199999999,1968
1969,Australia,13.330887300000002,1969
1970,Australia,13.21809449,1970
1971,Australia,12.93347224,1971
1972,Australia,11.97059617,1972
1973,Australia,11.01774981,1973
1974,Australia,13.21343244,1974
1975,Australia,14.7317978,1975
1976,Australia,13.38034938,1976
1977,Australia,14.6501655,1977
1978,Australia,14.590303,1978
1979,Australia,15.35665798,1979
1980,Australia,15.90861751,1980
1981,Australia,16.740282099999998,1981
1982,Australia,16.82952384,1982
1983,Australia,15.62352966,1983
1984,Australia,15.00529577,1984
1985,Australia,17.30539253,1985
1986,Australia,18.08023363,1986
1987,Australia,17.09215638,1987
1988,Australia,16.64767868,1988
1989,Australia,16.98173784,1989
1990,Australia,17.07349081,1990
1991,Australia,16.193830900000002,1991
1992,Australia,16.41862766,1992
1993,Australia,17.89344538,1993
1994,Australia,18.52069735,1994
1995,Australia,19.88466679,1995
1996,Australia,19.39313759,1996
1997,Australia,18.90000018,1997
1998,Australia,20.47485364,1998
1999,Australia,20.79075565,1999
2000,Australia,21.59435174,2000
2001,Australia,22.13948765,2001
2002,Australia,20.78268167,2002
2003,Australia,21.20105873,2003
2004,Australia,19.91744857,2004
2005,Australia,21.00608107,2005
2006,Australia,21.71030579,2006
2007,Australia,21.84783079,2007
2008,Australia,22.70865946,2008
2009,Australia,22.79309127,2009
2010,Australia,20.83966397,2010
2011,Australia,20.47031601,2011
2012,Australia,21.72951827,2012
2013,Australia,21.25226273,2013
2014,Australia,21.46703534,2014
2015,Australia,21.50952757,2015
2016,Australia,21.52658435,2016
2017,Australia,20.61296969,2017
2018,Australia,21.44074306,2018
2019,Australia,21.59949403,2019
2020,Australia,20.06262598,2020
1961,Canada,18.27351706,1961
1962,Canada,17.98530048,1962
1963,Canada,17.44252951,1963
1964,Canada,18.06267723,1964
1965,Canada,18.64839927,1965
1966,Canada,19.29600369,1966
1967,Canada,19.23986171,1967
1968,Canada,19.96516004,1968
1969,Canada,21.10999615,1969
1970,Canada,19.714156699999997,1970
1971,Canada,19.75762799,1971
1972,Canada,20.70471537,1972
1973,Canada,21.67206148,1973
1974,Canada,24.17202388,1974
1975,Canada,23.97638669,1975
1976,Canada,22.65868291,1976
1977,Canada,23.13401865,1977
1978,Canada,24.39548469,1978
1979,Canada,25.996835,1979
1980,Canada,25.89744447,1980
1981,Canada,25.80457124,1981
1982,Canada,21.50124233,1982
1983,Canada,21.86823163,1983
1984,Canada,24.63307427,1984
1985,Canada,25.39416755,1985
1986,Canada,26.18590905,1986
1987,Canada,24.96774058,1987
1988,Canada,25.41395674,1988
1989,Canada,25.11576531,1989
1990,Canada,25.01020928,1990
1991,Canada,24.95977851,1991
1992,Canada,26.62848332,1992
1993,Canada,29.20315119,1993
1994,Canada,31.70864856,1994
1995,Canada,33.06899018,1995
1996,Canada,33.27040231,1996
1997,Canada,36.20363989,1997
1998,Canada,38.0520106,1998
1999,Canada,38.25384431,1999
2000,Canada,38.55612203,2000
2001,Canada,36.304263299999995,2001
2002,Canada,35.64837348,2002
2003,Canada,32.97410942,2003
2004,Canada,32.86464868,2004
2005,Canada,32.90242569,2005
2006,Canada,32.64970526,2006
2007,Canada,32.05386458,2007
2008,Canada,32.62860281,2008
2009,Canada,29.95855751,2009
2010,Canada,31.04073957,2010
2011,Canada,31.82034685,2011
2012,Canada,32.24252342,2012
2013,Canada,31.89913623,2013
2014,Canada,32.64208628,2014
2015,Canada,34.3149411,2015
2016,Canada,33.86111211,2016
2017,Canada,33.6466507,2017
2018,Canada,34.23650752,2018
2019,Canada,33.51226808,2019
2020,Canada,30.99197345,2020
